attempt,phase,signature,slot,conn,t0_ns,t1_ns,t2_ns,t3_ns,sign_ns,send_ns,sign_to_send_ns,send_to_seen_ns,sign_to_seen_ns,landed,err,rpc_poll_count,fee_lamports,t_confirmed_ns,t_finalized_ns
56,warm,5GLRvoc7aex1tQnzZ2wSNLEunCKHj2JQpMNM3vbpcoPXLjb5Li4jXVBtWmS1bBVMGKgDDUJvVNPcBPTK4vG6x4MD,0,1,1218750356512943,1218750356530269,1218750356579293,0,17326,49024,66350,0,0,0,send_fail,0,0,0,0
57,warm,4CHNsM48jNBp84DD2zuLktUNoDo4rMdVUPJWGxGiNaE3EtmdhPtvvoeec3fBPvAKw9YccNykiMMDWRvfqKoVJECJ,0,1,1218750757168746,1218750757187344,1218750757233383,0,18598,46039,64637,0,0,0,send_fail,0,0,0,0
58,warm,MsxfhCRNBDGcCjmvgpuJcnjwRYf2S6PjtFNRkaRRi3AREUmEUjbYvJPhH6DxdPgsAimoFV49o6piHYZfCjm3Mr8,0,1,1218751149914469,1218751149932326,1218751149976132,0,17857,43806,61663,0,0,0,send_fail,0,0,0,0
59,warm,2ndRmsQ8xxKLj83qukAgpu5QPdxGNNU1Go6YBpsuUjLuDu7XJdVnDgGyCacSDBkJD94C2t7AEVgPqbrRANgxNfSg,0,1,1218751529825831,1218751529840162,1218751529882216,0,14331,42054,56385,0,0,0,send_fail,0,0,0,0
60,warm,3e9sm4q1F6NihUXXJXQtxcoCKEuAMQ72N91AQbKCzn6R1yo7363aqsxd3AV5KJWsXjvmEdx4ay69BhBtByz2sK9j,0,1,1218751910359156,1218751910377413,1218751910413628,0,18257,36215,54472,0,0,0,send_fail,0,0,0,0
61,warm,2i6NH2iGKVirgyTwaQXM4bu1uzBk2tiaPjC7dVQTs5W4njQHDq2S8esd92nEx35sMuYxRRyHTKwjdDkcWt69Vryq,0,1,1218752296188059,1218752296203852,1218752296238975,0,15793,35123,50916,0,0,0,send_fail,0,0,0,0
62,warm,34FGS4EWjtSuY7hqgH4DufCjWxSnJwr61i1mFj86pM5Pz9GoDpdZ1HUZzXbFkmQMVAtETzZM6zTU6pJjHLvyBcF2,0,1,1218752716491498,1218752716512159,1218752716557226,0,20661,45067,65728,0,0,0,send_fail,0,0,0,0
63,warm,DLofpzCxfjXZLaWtdhqg2yLLy8AJmLgCQPVXh4ZxNHYgqbN7CHTZiuSwrtYZyKWF9kpAkJ218juvKHbLjCWAYCH,0,1,1218753502452197,1218753502469283,1218753502521030,0,17086,51747,68833,0,0,0,send_fail,0,0,0,0
64,warm,5voVs27TBBkiy3SZnNqBwH1VTK24QDD8VQiSeLSNXD8P6NwumE2dxDkyEjWw6hMasKk7bJ8xqCAUBpiHzN3N5Vvi,0,1,1218753911792273,1218753911810270,1218753911849669,0,17997,39399,57396,0,0,0,send_fail,0,0,0,0
65,warm,3eebSFaoP6UJ15xGEX2Vfp5sYnah8y5RZpx3Uwwxiyn5VHpBYJ33yF62FDps4PXoTYdqnKvuz6ZLeLcmEXaqCNjx,0,1,1218754312488978,1218754312505092,1218754312543119,0,16114,38027,54141,0,0,0,send_fail,0,0,0,0
